Rice_IoU,Rice_CONV,Rice_NET
0.429941,0.555637,0.636501
0.638527,0.693279,0.650943
0.756736,0.713473,0.754446
0.695989,0.770896,0.704581
0.834266,0.785712,0.77108
0.790538,0.788314,0.784264
0.816222,0.839596,0.800395
0.708234,0.835467,0.808766
0.74091,0.865515,0.809592
0.864657,0.804101,0.817676
0.896514,0.852261,0.868511
0.893069,0.865966,0.882558
0.815745,0.777072,0.840704
0.860973,0.843829,0.85353
0.892353,0.862253,0.800216
0.814585,0.863433,0.826729
0.873764,0.794039,0.775067
0.906576,0.86267,0.840417
0.898424,0.861559,0.830429
0.834197,0.852746,0.815053
0.900402,0.873079,0.867792
0.842111,0.848999,0.868116
0.903506,0.807085,0.773163
0.861553,0.864127,0.839734
0.887748,0.786267,0.853206
0.887612,0.878318,0.873505
0.874241,0.902259,0.837147
0.874036,0.896013,0.783869
0.855004,0.875612,0.851769
0.905587,0.892093,0.858488
0.91848,0.912494,0.853602
0.888464,0.827313,0.817209
0.882393,0.862774,0.841674
0.868102,0.88033,0.82892
0.902551,0.894938,0.864128
0.897401,0.87294,0.834453
0.893922,0.86836,0.858164
0.903609,0.881163,0.853781
0.905621,0.891954,0.869265
0.891227,0.907047,0.811029
0.87946,0.870164,0.853566
0.88635,0.872142,0.87081
0.902995,0.889803,0.798311
0.908077,0.809653,0.853242
0.872945,0.908574,0.86226
0.888908,0.880816,0.832872
0.909032,0.852746,0.836752
0.915103,0.902328,0.835962
0.926291,0.904341,0.845446
0.910158,0.880365,0.777582
0.911829,0.900871,0.845015
0.914489,0.915374,0.854715
0.915274,0.871344,0.857015
0.898185,0.889456,0.863158
0.916706,0.898789,0.859386
0.935125,0.870407,0.838513
0.923801,0.898858,0.842536
0.900402,0.879879,0.865385
0.899413,0.87235,0.847422
0.916843,0.857534,0.846452
0.902995,0.871552,0.864846
0.913773,0.885812,0.876594
0.908111,0.87575,0.870595
0.926598,0.905937,0.872247
0.898936,0.882828,0.878858
0.929907,0.896638,0.855003
0.910158,0.880469,0.863014
0.933761,0.914854,0.85529
0.922573,0.869401,0.852021
0.902142,0.885049,0.837579
0.92213,0.876652,0.851195
0.909782,0.886888,0.857661
0.905416,0.879949,0.86032
0.911454,0.909684,0.861793
0.911829,0.902432,0.850009
0.924654,0.909129,0.856332
0.926598,0.901461,0.843183
0.857255,0.890531,0.851841
0.925268,0.898407,0.879217
0.900709,0.917352,0.848141
